player_name,season_norm,goals,shots,passes,team_name,primary_pos,att_score,mid_score,def_score,league,season_name,season,extracted_year
Nicolas Moumi Ngamaleu,2023,0,2,0,Cameroon,Right Midfield,10,0,0,African Cup of Nations,2023,2023,2023
Nicolas Pépé,2023,1,5,0,Côte d'Ivoire,Right Midfield,75,0,0,African Cup of Nations,2023,2023,2023
Nkosinathi Sibisi,2023,1,1,0,South Africa,Left Center Back,55,0,0,African Cup of Nations,2023,2023,2023
Nouh Mohamed El Abd,2023,0,2,0,Mauritania,Right Center Back,10,0,0,African Cup of Nations,2023,2023,2023
Nouhou Tolo,2023,0,3,0,Cameroon,Left Back,15,0,0,African Cup of Nations,2023,2023,2023
Novatus Dismas Miroshi,2023,0,1,0,Tanzania,Left Center Midfield,5,0,0,African Cup of Nations,2023,2023,2023
Nyiko Mobbie,2023,0,2,0,South Africa,Right Back,10,0,0,African Cup of Nations,2023,2023,2023
Núrio Domingos Matias Fortuna,2023,0,1,0,Angola,Left Back,5,0,0,African Cup of Nations,2023,2023,2023
Obite Evan Ndicka,2023,0,7,0,Côte d'Ivoire,Left Center Back,35,0,0,African Cup of Nations,2023,2023,2023
Odilon Kossonou,2023,0,2,0,Côte d'Ivoire,Right Center Back,10,0,0,African Cup of Nations,2023,2023,2023
Odion Jude Ighalo,2018,0,5,0,Nigeria,Center Forward,25,0,0,African Cup of Nations,2018,2018,2018
Oghenekaro Etebo,2018,0,7,0,Nigeria,Left Center Midfield,35,0,0,African Cup of Nations,2018,2018,2018
Olivier Michel Kemen,2023,0,3,0,Cameroon,Center Defensive Midfield,15,0,0,African Cup of Nations,2023,2023,2023
Oluwasemilogo Adesewo Ibidapo Ajayi,2023,0,1,0,Nigeria,Left Center Back,5,0,0,African Cup of Nations,2023,2023,2023
Omar Colley,2023,0,2,0,Gambia,Left Center Back,10,0,0,African Cup of Nations,2023,2023,2023
Omar Kamal Abdel Wahed,2023,1,1,0,Egypt,Right Center Midfield,55,0,0,African Cup of Nations,2023,2023,2023
Omar Marmoush,2023,2,9,0,Egypt,Left Wing,145,0,0,African Cup of Nations,2023,2023,2023
Omaré Gassama,2023,0,2,0,Mauritania,Left Defensive Midfield,10,0,0,African Cup of Nations,2023,2023,2023
Omenuke Mfulu,2023,1,1,0,Congo DR,Right Defensive Midfield,55,0,0,African Cup of Nations,2023,2023,2023
Onyinye Wilfred Ndidi,2018,0,3,0,Nigeria,Right Center Midfield,15,0,0,African Cup of Nations,2018,2018,2018
