player_name,season_norm,goals,shots,passes,team_name,primary_pos,att_score,mid_score,def_score,league,season_name,season,extracted_year
Goran Pandev,2015/2016,0,17,0,Genoa,Left Center Forward,85,0,0,Serie A,2015/2016,2015/2016,2015
Gregoire Defrel,2015/2016,7,52,0,Sassuolo,Center Forward,610,0,0,Serie A,2015/2016,2015/2016,2015
Guglielmo Stendardo,2015/2016,1,6,0,Atalanta,Right Center Back,80,0,0,Serie A,2015/2016,2015/2016,2015
Guilherme dos Santos Torres,2015/2016,0,6,0,Udinese,Center Defensive Midfield,30,0,0,Serie A,2015/2016,2015/2016,2015
Hernán Jorge Crespo,2004/2005,2,3,0,AC Milan,Left Center Forward,115,0,0,Serie A,2004/2005,2004/2005,2004
Iago Falqué Silva,2015/2016,2,16,0,AS Roma,Left Wing,180,0,0,Serie A,2015/2016,2015/2016,2015
Ibrahima Mbaye,2015/2016,0,5,0,Bologna,Right Back,25,0,0,Serie A,2015/2016,2015/2016,2015
Ignazio Abate,2015/2016,1,4,0,AC Milan,Right Back,70,0,0,Serie A,2015/2016,2015/2016,2015
Igor Bubnjić,2015/2016,0,9,0,Carpi,Left Center Back,45,0,0,Serie A,2015/2016,2015/2016,2015
Isaac Cofie,2015/2016,0,24,0,Carpi,Right Defensive Midfield,120,0,0,Serie A,2015/2016,2015/2016,2015
Issa Cissokho,2015/2016,0,1,0,Genoa,Right Wing Back,5,0,0,Serie A,2015/2016,2015/2016,2015
Ivan Gennaro Gattuso,2004/2005,0,1,0,AC Milan,Right Center Midfield,5,0,0,Serie A,2004/2005,2004/2005,2004
Ivan Perišić,2015/2016,8,74,0,Inter Milan,Left Wing,770,0,0,Serie A,2015/2016,2015/2016,2015
Ivan Radovanović,2015/2016,0,18,0,Chievo,Center Defensive Midfield,90,0,0,Serie A,2015/2016,2015/2016,2015
Ivan Strinić,2015/2016,0,3,0,Napoli,Left Back,15,0,0,Serie A,2015/2016,2015/2016,2015
Ivano Bonetti,1986/1987,0,1,0,Juventus,Center Defensive Midfield,5,0,0,Serie A,1986/1987,1986/1987,1986
Ivaylo Chochev,2015/2016,0,29,0,Palermo,Left Center Midfield,145,0,0,Serie A,2015/2016,2015/2016,2015
