player_name,season_norm,goals,shots,passes,team_name,primary_pos,att_score,mid_score,def_score,league,season_name,season,extracted_year
Salem Mohammed Al Dawsari,2018,1,7,0,Saudi Arabia,Left Midfield,85,0,0,FIFA World Cup,2018,2018,2018
Salem Mohammed Al Dawsari,2022,2,7,0,Saudi Arabia,Left Wing,135,0,0,FIFA World Cup,2022,2022,2022
Salif Sané,2018,0,4,0,Senegal,Right Center Back,20,0,0,FIFA World Cup,2018,2018,2018
Salis Abdul Samed,2022,0,1,0,Ghana,Left Defensive Midfield,5,0,0,FIFA World Cup,2022,2022,2022
Salman Mohammed Al Faraj,2018,1,3,0,Saudi Arabia,Left Center Midfield,65,0,0,FIFA World Cup,2018,2018,2018
Saman Ghoddos,2018,0,2,0,Iran,Right Midfield,10,0,0,FIFA World Cup,2018,2018,2018
Saman Ghoddos,2022,0,1,0,Iran,Left Wing,5,0,0,FIFA World Cup,2022,2022,2022
Sami Khedira,2018,0,3,0,Germany,Right Center Midfield,15,0,0,FIFA World Cup,2018,2018,2018
Samuel Yves Umtiti,2018,1,2,0,France,Left Center Back,60,0,0,FIFA World Cup,2018,2018,2018
Sang-Ho Na,2022,0,1,0,South Korea,Right Wing,5,0,0,FIFA World Cup,2022,2022,2022
Santiago Tomás Giménez,2024,0,8,0,Mexico,Center Forward,40,0,0,FIFA World Cup,2024,2024,2024
Sardar Azmoun,2018,0,5,0,Iran,Center Forward,25,0,0,FIFA World Cup,2018,2018,2018
Sardar Azmoun,2022,0,5,0,Iran,Center Forward,25,0,0,FIFA World Cup,2022,2022,2022
Saud Abdullah Abdul Hamid,2022,0,1,0,Saudi Arabia,Right Back,5,0,0,FIFA World Cup,2022,2022,2022
Sayfallah Ltaief,2023,0,1,0,Tunisia,Left Midfield,5,0,0,FIFA World Cup,2023,2023,2023
Saîf-Eddine Khaoui,2018,0,2,0,Tunisia,Left Center Midfield,10,0,0,FIFA World Cup,2018,2018,2018
Saša Lukić,2022,0,1,0,Serbia,Left Defensive Midfield,5,0,0,FIFA World Cup,2022,2022,2022
Saša Lukić,2024,0,1,0,Serbia,Left Defensive Midfield,5,0,0,FIFA World Cup,2024,2024,2024
Sebastian Larsson,2018,0,1,0,Sweden,Right Center Midfield,5,0,0,FIFA World Cup,2018,2018,2018
Sebastian Larsson,2020,0,4,0,Sweden,Right Midfield,20,0,0,FIFA World Cup,2020,2020,2020
Sebastian Rudy,2018,0,1,0,Germany,Right Defensive Midfield,5,0,0,FIFA World Cup,2018,2018,2018
Sebastián Coates Nión,2022,0,1,0,Uruguay,Left Center Back,5,0,0,FIFA World Cup,2022,2022,2022
Sebastián Enzo Cáceres Ramos,2024,0,2,0,Uruguay,Left Center Back,10,0,0,FIFA World Cup,2024,2024,2024
Sebastião Miranda da Silva Filho,1974,0,1,0,Brazil,Left Center Forward,5,0,0,FIFA World Cup,1974,1974,1974
Selim Amallah,2022,0,2,0,Morocco,Left Center Midfield,10,0,0,FIFA World Cup,2022,2022,2022
Selim Amallah,2023,0,1,0,Morocco,Left Center Midfield,5,0,0,FIFA World Cup,2023,2023,2023
Seon-Min Moon,2018,0,2,0,South Korea,Right Wing,10,0,0,FIFA World Cup,2018,2018,2018
Serge Gnabry,2020,0,4,0,Germany,Center Forward,20,0,0,FIFA World Cup,2020,2020,2020
Serge Gnabry,2022,1,12,0,Germany,Right Wing,110,0,0,FIFA World Cup,2022,2022,2022
Sergei Ignashevich,2018,2,5,0,Russia,Left Center Back,125,0,0,FIFA World Cup,2018,2018,2018
Sergej Milinković-Savić,2018,0,5,0,Serbia,Center Attacking Midfield,25,0,0,FIFA World Cup,2018,2018,2018
Sergej Milinković-Savić,2022,1,3,0,Serbia,Left Attacking Midfield,65,0,0,FIFA World Cup,2022,2022,2022
Sergej Milinković-Savić,2024,0,3,0,Serbia,Center Defensive Midfield,15,0,0,FIFA World Cup,2024,2024,2024
Sergino Dest,2022,0,6,0,United States,Right Back,30,0,0,FIFA World Cup,2022,2022,2022
Sergio Daniel Batista,1986,0,2,0,Argentina,Center Defensive Midfield,10,0,0,FIFA World Cup,1986,1986,1986
Sergio Fernando Peña Flores,2024,0,1,0,Peru,Right Center Midfield,5,0,0,FIFA World Cup,2024,2024,2024
Sergio Leonel Agüero del Castillo,2018,2,6,0,Argentina,Center Forward,130,0,0,FIFA World Cup,2018,2018,2018
Seung-Ho Paik,2022,1,1,0,South Korea,Right Center Midfield,55,0,0,FIFA World Cup,2022,2022,2022
Seung-Woo Lee,2018,0,1,0,South Korea,Center Attacking Midfield,5,0,0,FIFA World Cup,2018,2018,2018
